Stkcd,Pressure,Tone,Size,Growth,year,indus1,NCSKEW,DUVOL,EM,EPS,Institution,Shareholding
2,.14995274,.42857143,26.954552,.081002,2014,59,-.9406331777572632,-1.104050397872925,4.386857,1.43,49.166,1
2,.37517033,.44295992,27.138847,.33582801,2015,59,-2.504194259643555,-.8277350068092346,4.484611,1.64,58.2096,1
2,-.30497566,.388,27.78404,.010063,2017,59,-.6661679744720459,-.6537564992904663,6.242687,2.54,71.902,1
2,-.43706291,.33077661,28.055361,.225537,2018,59,.1834229379892349,.4108911156654358,6.487457,3.06,78.3755,1
2,-.5020373,.37748344,28.179102,.235873,2019,59,-.5284686088562012,-.3746926486492157,6.393433,3.47,74.0112,1
2,.02308243,.23790721,28.256519,.139219,2020,59,-.0779777988791466,-.3398566842079163,5.34288,3.62,69.1104,1
6,.20064508,.43303571,23.187393,-.494946,2014,59,-1.06290590763092,-.3819896280765533,2.78878,.3763,36.5615,1
6,.5563148,.46704871,23.265144,.56922901,2015,59,-1.06873619556427,-1.022013902664185,2.826062,.3087,40.1352,1
6,.80820306,.4741573,23.301237,-.080859,2016,59,-.8865941762924194,-.6798133850097656,2.567389,.5767,39.3283,1
6,.50055847,.28413284,23.298922,-.118903,2017,59,-.277257889509201,-.1646283864974976,2.302279,.5968,42.1645,1
6,.2235046,.34235977,23.328672,-.151246,2018,59,-.3697543144226074,-.3001060783863068,2.119705,.6476,41.778,1
6,.5612146,.29431438,23.479809,.48549399,2019,59,-.9338392615318298,-.6801328659057617,2.19593,.5935,43.5418,1
6,.1144553,.35559265,23.459888,-.213489,2020,59,.368701696395874,.3983821272850037,1.969222,.6405,41.1669,1
8,.88824363,.39087948,22.001238,3.2159989,2015,54,-.8392478227615356,-.4648450613021851,1.234277,.078,42.1495,0
8,.50830497,.52760736,22.826504,.448569,2016,54,.8715258836746216,.4405004978179932,1.327286,.192,34.1211,1
8,.38294823,.43410853,23.09148,.242497,2017,54,-.1482656449079514,-.3555147647857666,1.485771,.311,44.8061,1
8,.17238548,.49643089,23.071432,.100376,2018,54,-1.975861668586731,-1.525751352310181,1.413447,.116,45.4654,1
8,.26857387,.39665653,23.211878,.255465,2019,54,-.1676304787397385,.2595038712024689,1.589728,.161,42.7901,1
8,.14223576,.33853007,23.27492,-.404524,2020,54,-.1517253667116165,-.2039779424667358,1.923695,-.33,42.7683,1
9,-.011216,.40872375,23.412846,.037654,2014,70,-.1489763408899307,-.4323411583900452,2.69494,.2,26.5153,0
9,.0243639,.46629213,23.619947,.128465,2015,70,-.4584790170192719,-.6440107226371765,2.763974,.5,23.761,0
9,-.1428535,.50812065,23.79702,.317839,2016,70,-.5808914303779602,-.5542597770690918,2.658097,.11,20.4071,0
9,.0873288,.28135593,24.023149,.095413,2017,70,-.2423826605081558,-.0948309078812599,2.725691,.06,20.4031,0
9,-.1222856,.1622276,24.184511,-.113391,2020,70,1.395479321479797,.5055646300315857,2.405103,.26,27.0763,0
12,-.1800722,.25,23.450098,-.089127,2014,27,-.068027637898922,-.5068539977073669,1.795285,.42,14.5509,1
12,.2615653,.2233677,23.474195,.054849,2015,27,-.389953076839447,-.2380993068218231,2.047903,.3,31.7662,0
12,.34777503,.35511983,23.565079,.207673,2016,27,-1.412190556526184,-.9490422606468201,2.109289,.38,32.8265,0
12,.17783171,.2764977,23.695475,.212313,2017,27,-.5169625878334045,-.5417108535766602,2.225039,.35,29.7774,0
12,.21903002,.37313433,23.673698,-.024766,2018,27,.0387846380472183,-.2494078874588013,2.022792,.16,30.7765,0
12,.34364827,.33246415,23.624756,-.013001,2019,27,-1.383804678916931,-.6740148663520813,1.844872,.17,32.2379,0
12,.189171,.35055351,23.607111,.019025,2020,27,-.9041021466255188,-.4977116882801056,1.684543,.25,33.5149,0
16,-.04365513,.42903752,23.543415,-.029153,2014,36,.4875702857971191,.4334649741649628,3.904486,.0437,35.8598,1
16,.1408345,.17002882,23.380049,-.052942,2015,36,1.457528471946716,.830715537071228,4.633587,-.52,39.024,1
16,-.5082253,.20165746,24.474813,.194948,2019,36,-.8770233988761902,-.5120865702629089,4.290143,.0881,38.8198,1
16,.04724277,.05174825,24.632811,-.086491,2020,36,-1.057199001312256,-.6925773620605469,4.652248,.1984,38.0872,1
21,.2040466,.4229249,23.39399,.093396,2014,36,-.085478387773037,-.0408890880644321,2.856367,.1332,56.9824,1
21,.32086279,.39372822,23.386145,-.06582,2015,36,-.4248823523521423,-.1845708042383194,2.754206,.1228,57.7115,1
21,.321692,.5,23.184338,-.01905,2016,36,-.7829791903495789,-1.064734935760498,2.21194,.1457,55.8612,1
21,.083217,.34375,23.532637,-.05703,2017,36,-.3086258769035339,-.5210862159729004,2.799824,.3679,54.3651,1
21,.00234778,.38349515,23.495657,.13027801,2018,36,.02544916421175,.0058171208947897,2.362967,.3603,54.9165,1
21,-.16961136,.32326284,23.638512,-.176651,2019,36,-.9522082805633545,-.4420971870422363,2.598293,.2395,53.0886,1
21,.1076714,.38437979,23.797562,.13183901,2020,36,-1.118781924247742,-1.026812195777893,2.70096,.5826,48.0492,1
23,1.0268983,.32805071,21.137999,-.026829,2016,27,.4605949521064758,.6203017234802246,3.322983,.0717,55.2546,0
23,1.1537721,.24944812,21.391926,.21706501,2017,27,.1539196968078613,-.0786916613578796,4.076075,.2198,52.1731,0
23,.8690124,.31813246,21.565046,.31088799,2018,27,-.5267363786697388,-.4816136658191681,4.577269,.1897,43.1515,0
25,-.999672,.29180328,20.879131,-.346807,2015,46,-.371546596288681,-.2068794965744019,1.330165,.1538,75.7931,1
